Stop Number,Name,Address,Co-ordinates,lat,long
12,Southbank & Yarra River,1 Queens Bridge Street SOUTHBANK VIC 3006,"-37.821179258026, 144.96138798151",-37.821179258026,144.96138798151
11,William Street,42-70 William Street MELBOURNE VIC 3000,"-37.818131954581, 144.959336570717",-37.818131954581,144.959336570717
9,"Waterfront City, Docklands",28-38 Pearl River Road DOCKLANDS VIC 3008,"-37.814148018233, 144.937308878399",-37.814148018233,144.937308878399
7,University of Melbourne,229-231 Grattan Street CARLTON VIC 3053,"-37.800052147993, 144.960580435349",-37.800052147993,144.960580435349
1,Arts Precinct,2-128 St Kilda Road SOUTHBANK VIC 3006,"-37.820228405985, 144.968709481939",-37.820228405985,144.968709481939
2,Federation Square,198-206 Flinders Street MELBOURNE VIC 3000,"-37.817327692699, 144.967909588446",-37.817327692699,144.967909588446
6,Lygon Street Precinct,270-350 Lygon Street CARLTON VIC 3053,"-37.799062870839, 144.967216922135",-37.799062870839,144.967216922135
10,Docklands Stadium & Victoria Harbour,122-148 Harbour Esplanade DOCKLANDS VIC 3008,"-37.818327272015, 144.946419019713",-37.818327272015,144.946419019713
5,Melbourne Museum and Carlton Gardens,9-11 Nicholson Street CARLTON VIC 3053,"-37.804705788845, 144.969268527626",-37.804705788845,144.969268527626
4,Chinatown Precinct,113-149 Exhibition Street MELBOURNE VIC 3000,"-37.812791473531, 144.97089160581",-37.812791473531,144.97089160581
8,Queen Victoria Market,2-94 Peel Street WEST MELBOURNE VIC 3003,"-37.807718830915, 144.955655006563",-37.807718830915,144.955655006563
13,The Shrine and Royal Botanic Gardens,Birdwood Avenue MELBOURNE VIC 3004,"-37.829329359335, 144.974126576746",-37.829329359335,144.974126576746
3,Sports Precinct,Yarra Park Brunton Avenue JOLIMONT VIC 3002,"-37.818586324179, 144.981578214671",-37.818586324179,144.981578214671
